L_23958,81.715448,18136,2,0.496625,150.163,Free shipping on orders over $49,Email,150.163
L_30500,71.567478,20317,2,0.539437,134.489232,Free shipping on orders over $49,Email,134.489232
L_13020,73.799924,14490,1,0.503939,141.908744,Anastasia Beverly Hills,Direct Mail,141.908744
L_42905,75.733321,24452,2,0.65192,141.683065,Free shipping on orders over $49,Mobile,141.683065
L_39284,80.603216,23245,1,0.490357,148.580275,Anastasia Beverly Hills,Direct Mail,148.580275
L_45636,67.28353,25362,2,0.556652,157.817075,Free shipping on orders over $49,Mobile,157.817075
L_26773,75.952506,19074,2,0.502343,151.737597,Free shipping on orders over $49,Direct Mail,151.737597
L_27125,73.693156,19192,1,0.492559,157.706934,Anastasia Beverly Hills,Mobile,157.706934
L_27477,76.182552,19309,2,0.522666,154.141526,Free shipping on orders over $49,Mobile,154.141526
L_39493,79.568786,23314,2,0.477186,160.619197,Free shipping on orders over $49,Direct Mail,160.619197
L_38336,80.737755,22929,2,0.55415,156.491817,Free shipping on orders over $49,Email,156.491817
L_14079,77.877447,14843,2,0.459845,146.379318,Free shipping on orders over $49,Email,146.379318
L_20144,72.277331,16865,2,0.429811,171.653496,Free shipping on orders over $49,Direct Mail,171.653496
L_33596,73.933354,21349,1,0.515684,157.611708,Anastasia Beverly Hills,Direct Mail,157.611708
L_31761,72.109583,20737,1,0.563629,146.30243,Anastasia Beverly Hills,Mobile,146.30243
L_16351,78.322702,15600,1,0.505345,141.3325,Anastasia Beverly Hills,Mobile,141.3325
L_5432,73.719947,11961,2,0.663885,155.125003,Free shipping on orders over $49,Mobile,155.125003
L_20429,76.202093,16960,2,0.600941,157.925785,Free shipping on orders over $49,Direct Mail,157.925785
L_3362,70.755783,11271,2,0.473242,148.659863,Free shipping on orders over $49,Mobile,148.659863
L_39710,77.529908,23387,1,0.44546,153.28417,Anastasia Beverly Hills,Email,153.28417
L_41288,80.002849,23913,2,0.5633,152.80096,Free shipping on orders over $49,Direct Mail,152.80096
L_5016,77.380277,11822,1,0.527124,143.230237,Anastasia Beverly Hills,Email,143.230237
L_8272,81.424478,12907,2,0.476311,156.468678,Free shipping on orders over $49,Mobile,156.468678
L_23600,76.859052,18017,2,0.489676,146.1644,Free shipping on orders over $49,Direct Mail,146.1644
L_29241,72.603253,19897,2,0.491235,137.428827,Free shipping on orders over $49,Direct Mail,137.428827
L_45503,72.32192,25318,2,0.529089,162.817199,Free shipping on orders over $49,Direct Mail,162.817199
L_16837,82.461834,15762,1,0.463656,164.332807,Anastasia Beverly Hills,Direct Mail,164.332807
L_38562,85.660971,23004,2,0.519807,146.933225,Free shipping on orders over $49,Email,146.933225
L_46468,75.198178,25639,1,0.519147,131.016322,Anastasia Beverly Hills,Mobile,131.016322
L_6404,77.085211,12285,1,0.437279,137.725949,Anastasia Beverly Hills,Direct Mail,137.725949
L_45536,75.214965,25329,1,0.440376,137.739186,Anastasia Beverly Hills,Direct Mail,137.739186
L_2677,73.730145,11042,2,0.63941,163.368653,Free shipping on orders over $49,Direct Mail,163.368653
L_11074,80.709629,13841,2,0.496947,160.644343,Free shipping on orders over $49,Direct Mail,160.644343
L_16039,70.075648,15496,2,0.495415,128.676388,Free shipping on orders over $49,Email,128.676388
L_7396,78.044947,12615,2,0.485769,153.33926,Free shipping on orders over $49,Mobile,153.33926
L_6068,74.960786,12173,1,0.485748,168.740282,Anastasia Beverly Hills,Email,168.740282
L_48210,74.323413,26220,2,0.553487,148.168928,Free shipping on orders over $49,Mobile,148.168928
L_21482,77.009109,17311,1,0.514805,140.307992,Anastasia Beverly Hills,Direct Mail,140.307992
L_34188,73.874687,21546,2,0.546188,166.472952,Free shipping on orders over $49,Email,166.472952
L_171,69.939992,10207,1,0.531948,139.746096,Anastasia Beverly Hills,Email,139.746096
L_12550,80.620719,14333,1,0.489485,146.777219,Anastasia Beverly Hills,Mobile,146.777219
L_36171,79.092188,22207,1,0.495036,159.728176,Anastasia Beverly Hills,Direct Mail,159.728176
L_6006,67.403571,12152,2,0.484516,163.605152,Free shipping on orders over $49,Direct Mail,163.605152
L_8022,70.027694,12824,1,0.490111,124.811147,Anastasia Beverly Hills,Email,124.811147
L_24185,70.372918,18212,1,0.586142,143.075545,Anastasia Beverly Hills,Email,143.075545
L_41727,78.458456,24059,1,0.56717,137.716867,Anastasia Beverly Hills,Direct Mail,137.716867
L_20569,71.229859,17006,1,0.583186,150.743829,Anastasia Beverly Hills,Mobile,150.743829
L_29663,87.877769,20038,1,0.573711,149.293528,Anastasia Beverly Hills,Email,149.293528
L_7706,67.659503,12719,2,0.503389,153.417188,Free shipping on orders over $49,Mobile,153.417188
L_11581,75.21906,14010,1,0.499882,151.805509,Anastasia Beverly Hills,Direct Mail,151.805509
L_39604,77.216713,23351,1,0.478515,138.073366,Anastasia Beverly Hills,Email,138.073366
