L_34416,79.904174,67689,1,0.457997,525.078687,Anastasia Beverly Hills,Mobile,525.08,79.9
L_48916,66.205479,91497,2,0.482574,378.125558,Free shipping on orders over $49,Email,378.13,66.21
L_19282,59.393956,42105,2,0.484264,423.500378,Free shipping on orders over $49,Email,423.5,59.39
L_36420,52.97999,71035,1,0.555543,350.933282,Anastasia Beverly Hills,Email,350.93,52.98
L_28057,79.497191,56626,1,0.516679,489.208948,Anastasia Beverly Hills,Email,489.21,79.5
L_56384,56.08049,103865,2,0.55537,512.399009,Free shipping on orders over $49,Direct Mail,512.4,56.08
L_55231,30.819418,101936,2,0.512362,338.213119,Free shipping on orders over $49,Mobile,338.21,30.82
L_24453,28.227946,50764,2,0.545041,424.25303,Free shipping on orders over $49,Direct Mail,424.25,28.23
L_46182,59.132163,87043,2,0.50524,447.229921,Free shipping on orders over $49,Mobile,447.23,59.13
L_4996,28.160552,18438,1,0.490172,492.29731,Anastasia Beverly Hills,Email,492.3,28.16
L_26783,62.053253,54562,2,0.518104,380.838147,Free shipping on orders over $49,Mobile,380.84,62.05
L_5088,57.370413,18581,2,0.513986,479.539651,Free shipping on orders over $49,Direct Mail,479.54,57.37
L_8839,54.764433,24803,1,0.489787,318.824068,Anastasia Beverly Hills,Direct Mail,318.82,54.76
L_41723,37.117855,79803,2,0.516441,350.089904,Free shipping on orders over $49,Direct Mail,350.09,37.12
L_18919,85.49257,41534,2,0.565871,535.256782,Free shipping on orders over $49,Email,535.26,85.49
L_31456,70.648644,62504,1,0.592498,400.455109,Anastasia Beverly Hills,Mobile,400.46,70.65
L_58993,60.416962,108203,1,0.761596,497.336091,Anastasia Beverly Hills,Direct Mail,497.34,60.42
L_50931,38.291183,94783,2,0.521681,277.227464,Free shipping on orders over $49,Email,277.23,38.29
L_56907,93.491464,104759,1,0.560272,466.426813,Anastasia Beverly Hills,Mobile,466.43,93.49
L_47551,57.319847,89265,2,0.511617,411.604918,Free shipping on orders over $49,Mobile,411.6,57.32
L_55856,39.337053,102960,2,0.560541,316.877925,Free shipping on orders over $49,Email,316.88,39.34
L_47696,58.5119,89500,1,0.491838,374.957321,Anastasia Beverly Hills,Direct Mail,374.96,58.51
L_59464,59.887202,108997,1,0.491184,427.784778,Anastasia Beverly Hills,Direct Mail,427.78,59.89
L_15732,55.083769,36362,1,0.479601,318.618805,Anastasia Beverly Hills,Mobile,318.62,55.08
L_46944,70.11133,88262,1,0.510367,444.122037,Anastasia Beverly Hills,Email,444.12,70.11
L_59757,43.382217,109468,1,0.54494,531.688433,Anastasia Beverly Hills,Email,531.69,43.38
L_60000,73.516745,109860,1,0.506487,589.053654,Anastasia Beverly Hills,Direct Mail,589.05,73.52
L_47948,47.917314,89933,1,0.463678,504.812572,Anastasia Beverly Hills,Mobile,504.81,47.92
L_10376,44.816786,27429,2,0.493808,456.4224,Free shipping on orders over $49,Mobile,456.42,44.82
